"datetimePST","datatype","Latitude","Longitude","direction_deg","acc_x","acc_y","acc_z","pitch","Behaviour_state","Land"
"2023-06-28 13:20:08","GPS",48.63530731,-123.2907639,167,265,-211,965,NA,"Incubating",1
"2023-06-28 13:20:09","SEN_ALL_5Hz_START",NA,NA,NA,271,-219,943,NA,"Incubating",1
"2023-06-28 13:20:09","SEN_ALL_5Hz",NA,NA,NA,255,-223,959,14.93746637,"Incubating",1
"2023-06-28 13:20:11","SEN_ALL_5Hz",NA,NA,NA,255,-199,991,14.98753826,"Incubating",1
"2023-06-28 13:20:12","SEN_ALL_5Hz",NA,NA,NA,271,-204,975,15.16362653,"Incubating",1
"2023-06-28 13:20:13","SEN_ALL_5Hz",NA,NA,NA,271,-203,975,15.41573227,"Incubating",1
"2023-06-28 13:20:13","SEN_ALL_5Hz",NA,NA,NA,255,-215,991,14.99187047,"Incubating",1
"2023-06-28 13:20:15","SEN_ALL_5Hz",NA,NA,NA,271,-208,959,15.12904956,"Incubating",1
"2023-06-28 13:20:16","SEN_ALL_5Hz",NA,NA,NA,271,-211,959,15.24865966,"Incubating",1
"2023-06-28 13:20:17","SEN_ALL_5Hz",NA,NA,NA,271,-215,943,15.4209445,"Incubating",1
"2023-06-28 13:20:17","SEN_ALL_5Hz",NA,NA,NA,271,-201,991,14.94117195,"Incubating",1
"2023-06-28 13:20:19","SEN_ALL_5Hz",NA,NA,NA,271,-211,959,15.18091202,"Incubating",1
"2023-06-28 13:20:20","SEN_ALL_5Hz",NA,NA,NA,271,-217,975,15.1586134,"Incubating",1
"2023-06-28 13:20:21","SEN_ALL_5Hz",NA,NA,NA,255,-201,975,14.81858605,"Incubating",1
"2023-06-28 13:20:21","SEN_ALL_5Hz",NA,NA,NA,271,-197,975,15.21204151,"Incubating",1
"2023-06-28 13:20:23","SEN_ALL_5Hz",NA,NA,NA,271,-208,975,14.99310365,"Incubating",1
"2023-06-28 13:20:24","SEN_ALL_5Hz",NA,NA,NA,271,-219,959,15.07732633,"Incubating",1
"2023-06-28 13:20:25","SEN_ALL_5Hz",NA,NA,NA,271,-208,959,14.99310365,"Incubating",1
"2023-06-28 13:20:25","SEN_ALL_5Hz",NA,NA,NA,271,-211,959,15.3724501,"Incubating",1
"2023-06-28 13:20:27","SEN_ALL_5Hz",NA,NA,NA,271,-207,959,15.11861005,"Incubating",1
"2023-06-28 13:20:28","SEN_ALL_5Hz",NA,NA,NA,255,-210,959,15.03230709,"Incubating",1
"2023-06-28 13:20:29","SEN_ALL_5Hz",NA,NA,NA,271,-199,975,15.86627401,"Incubating",1
"2023-06-28 13:20:29","SEN_ALL_5Hz",NA,NA,NA,239,-216,975,14.15819222,"Incubating",1
"2023-06-28 13:20:31","SEN_ALL_5Hz",NA,NA,NA,255,-231,975,14.77138355,"Incubating",1
"2023-06-28 13:20:32","SEN_ALL_5Hz",NA,NA,NA,255,-228,959,14.28109506,"Incubating",1
"2023-06-28 13:20:33","SEN_ALL_5Hz",NA,NA,NA,255,-237,959,14.48883859,"Incubating",1
"2023-06-28 13:20:33","SEN_ALL_5Hz",NA,NA,NA,255,-226,959,14.66754949,"Incubating",1
"2023-06-28 13:20:35","SEN_ALL_5Hz",NA,NA,NA,271,-231,959,15.18398591,"Incubating",1
"2023-06-28 13:20:36","SEN_ALL_5Hz",NA,NA,NA,255,-228,959,14.83526784,"Incubating",1
