Nr,TID,PID,x,y,t.sec,I.val,Len.m,D2S.m,D2R.m,D2P.m,q¡.deg,s¡.deg
1,1,1,489.573,447.684,0,328,0,0,NA,NA,NA,NA
2,1,2,497.427,451.611,0,343,8.781,8.781,NA,8.781,26.565,NA
3,1,3,506.59,454.229,0,372,18.311,18.233,NA,9.53,15.945,-10.62
4,1,4,515.753,452.92,0,472,27.567,26.699,NA,9.256,-8.13,-24.075
5,1,5,523.607,447.684,0,549,37.007,34.034,NA,9.439,-33.69,-25.56
6,1,6,528.843,437.212,0,355,48.715,40.643,NA,11.708,-63.435,-29.745
7,1,7,531.461,430.667,0,352,55.764,45.213,NA,7.049,-68.199,-4.764
8,1,8,534.079,422.813,0,494,64.043,50.985,NA,8.279,-71.565,-3.366
9,1,9,538.006,416.268,0,597,71.676,57.731,NA,7.633,-59.036,12.529
10,1,10,539.315,412.341,0,434,75.815,61.02,NA,4.139,-71.565,-12.529
11,1,11,540.624,405.796,0,743,82.49,66.037,NA,6.675,-78.69,-7.125
12,1,12,541.933,400.559,0,485,87.887,70.444,NA,5.397,-75.964,2.726
13,1,13,541.933,392.705,0,970,95.741,75.923,NA,7.854,-90,-14.036
14,1,14,541.933,387.469,0,1154,100.977,79.796,NA,5.236,-90,0
15,1,15,547.169,378.306,0,744,111.531,90.17,NA,10.554,-60.255,29.745
16,1,16,557.642,371.761,0,874,123.88,101.969,NA,12.349,-32.005,28.25
17,1,17,565.496,365.216,0,598,134.104,112.095,NA,10.224,-39.806,-7.8
18,1,18,573.35,359.98,0,418,143.544,121.287,NA,9.439,-33.69,6.116
19,1,19,585.131,352.126,0,624,157.703,135.14,NA,14.159,-33.69,0
20,1,20,594.294,348.199,0,541,167.672,144.443,NA,9.969,-23.199,10.491
21,1,21,603.457,341.654,0,530,178.932,155.603,NA,11.261,-35.538,-12.339
22,1,22,613.929,341.654,0,376,189.405,163.423,NA,10.472,0,35.538
23,1,23,623.092,339.036,0,413,198.934,172.14,NA,9.53,-15.945,-15.945
24,1,24,632.256,337.727,0,312,208.191,180.136,NA,9.256,-8.13,7.815
25,1,25,644.037,337.727,0,426,219.972,189.604,NA,11.781,0,8.13
26,1,26,653.2,335.109,0,375,229.502,198.613,NA,9.53,-15.945,-15.945
27,1,27,666.29,335.109,0,414,242.592,209.529,NA,13.09,0,15.945
28,1,28,672.835,335.109,0,640,249.137,215.078,NA,6.545,0,0
29,1,29,685.925,331.182,0,628,262.803,228.314,NA,13.667,-16.699,-16.699
30,1,30,695.088,327.254,0,592,272.773,238.202,NA,9.969,-23.199,-6.499
31,1,31,705.561,325.945,0,851,283.326,247.934,NA,10.554,-7.125,16.074
32,1,32,717.342,324.636,0,697,295.18,258.881,NA,11.854,-6.34,0.785
33,1,33,727.814,322.018,0,667,305.974,269.352,NA,10.794,-14.036,-7.696
34,1,34,736.977,322.018,0,581,315.137,277.49,NA,9.163,0,14.036
35,1,35,744.831,324.636,0,439,323.416,283.368,NA,8.279,18.435,18.435
36,1,36,755.303,322.018,0,436,334.211,293.947,NA,10.794,-14.036,-32.471
37,1,37,763.157,318.091,0,338,342.992,302.726,NA,8.781,-26.565,-12.529
38,1,38,774.939,316.782,0,345,354.846,313.957,NA,11.854,-6.34,20.225
39,1,39,786.72,315.473,0,390,366.699,325.232,NA,11.854,-6.34,0
40,1,40,784.102,307.619,0,825,374.978,326.137,NA,8.279,-108.435,-102.095
41,1,41,781.484,302.383,0,431,380.832,326.074,NA,5.854,-116.565,-8.13
